system,IncLing_priority,IncLing_random,IncLing_dissim,IncLing_lotcp,IncLing_lotcp2,IncLing_lotcp1,IncLing_lotcp0,IncLing_total,IncLing_additional,IncLing_unified
apache-2.4.3,0.96,0.90,0.87,0.94,0.94,0.94,0.94,0.93,0.93,0.93
bash-4.2,0.93,0.84,0.72,0.93,0.93,0.93,0.93,0.93,0.93,0.93
bison-2.0,0.97,0.89,0.91,0.97,0.97,0.97,0.97,0.97,0.97,0.97
busybox-1.23.1,0.73,0.75,0.74,0.73,0.73,0.73,0.73,0.78,0.76,0.75
cherokee-1.2.101,0.97,0.92,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97
cvs-1.11.17,0.97,0.89,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97
dia-0.97.2,0.84,0.87,0.81,0.92,0.92,0.92,0.92,0.94,0.94,0.89
firefox-32.0.1,0.90,0.92,0.88,0.88,0.88,0.88,0.88,0.85,0.85,0.88
fvwm-2.4.15,0.97,0.93,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97
gcc-4.9.2,0.61,0.61,0.62,0.59,0.59,0.59,0.59,0.56,0.58,0.59
gnuplot-4.6.1,0.94,0.91,0.91,0.94,0.94,0.94,0.94,0.95,0.95,0.95
irssi-0.8.15,0.97,0.87,0.91,0.97,0.97,0.97,0.97,0.97,0.97,0.97
libpng-1.5.14,0.88,0.86,0.82,0.88,0.88,0.88,0.88,0.79,0.81,0.88
libssh-0.5.3,0.89,0.86,0.94,0.85,0.85,0.85,0.85,0.75,0.75,0.81
libxml2-2.9.0,0.97,0.92,0.93,0.97,0.97,0.97,0.97,0.97,0.97,0.97
lighttpd-1.4.30,0.97,0.90,0.91,0.97,0.97,0.97,0.97,0.97,0.97,0.97
linux-3.18.5,0.88,0.82,0.85,0.88,0.88,0.88,0.88,0.88,0.88,0.88
lua-5.2.1,0.85,0.92,0.97,0.85,0.85,0.85,0.85,0.85,0.85,0.85
totem-2.17.5,0.90,0.92,0.90,0.97,0.97,0.97,0.97,0.97,0.97,0.97
vim-6.0,0.83,0.79,0.85,0.77,0.77,0.77,0.77,0.79,0.82,0.72
xfig-3.2.4,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
xterm-224,0.88,0.83,0.86,0.88,0.88,0.88,0.88,0.90,0.90,0.88
